city,url
三门峡市,http://www.smx.gov.cn
东营市,http://www.dongying.gov.cn
临汾市,http://www.linfen.gov.cn
临沂市,http://www.linyi.gov.cn
保定市,http://www.baoding.gov.cn
信阳市,http://www.xinyang.gov.cn
南阳市,http://www.nanyang.gov.cn
吕梁市,http://www.lvliang.gov.cn
周口市,http://www.zhoukou.gov.cn
唐山市,http://www.tangshan.gov.cn
商丘市,http://www.shangqiu.gov.cn
大同市,http://www.dt.gov.cn
天津市,https://www.tj.gov.cn
太原市,http://www.taiyuan.gov.cn
威海市,http://www.weihai.gov.cn
安阳市,http://www.anyang.gov.cn
定州市,http://www.dzs.gov.cn
平顶山市,http://www.pds.gov.cn
廊坊市,http://www.lf.gov.cn
开封市,http://www.kaifeng.gov.cn
张家口市,http://www.zjk.gov.cn
德州市,http://www.dezhou.gov.cn
忻州市,http://www.sxxz.gov.cn
承德市,http://www.chengde.gov.cn
新乡市,http://www.xinxiang.gov.cn
日照市,http://www.rizhao.gov.cn
晋中市,http://www.sxjz.gov.cn
晋城市,http://www.jcgov.gov.cn
朔州市,http://www.shuozhou.gov.cn
枣庄市,http://www.zaozhuang.gov.cn
沧州市,http://www.cangzhou.gov.cn
泰安市,http://www.taian.gov.cn
洛阳市,http://www.ly.gov.cn
济南市,http://www.jinan.gov.cn
济宁市,http://www.jining.gov.cn
淄博市,http://www.zibo.gov.cn
滨州市,http://www.binzhou.gov.cn
漯河市,http://www.luohe.gov.cn
潍坊市,http://www.weifang.gov.cn
濮阳市,http://www.puyang.gov.cn
烟台市,http://www.yantai.gov.cn
@DONE 无搜索引擎 焦作市,http://www.jiaozuo.gov.cn
@TODO wordtoken石家庄市,http://www.sjz.gov.cn
@DONE秦皇岛市,http://www.qhd.gov.cn
@DONE聊城市,http://www.liaocheng.gov.cn
@DONE maybe菏泽市,http://www.heze.gov.cn
@DONE衡水市,http://www.hengshui.gov.cn
@TODO null许昌市,http://www.xuchang.gov.cn
@DONE辛集市,http://www.xinji.gov.cn
@DONE运城市,http://www.yuncheng.gov.cn
@DONE邢台市,http://www.xingtai.gov.cn
@DONE邯郸市,http://www.hd.gov.cn
@DONE郑州市,http://www.zhengzhou.gov.cn
@DONE长治市,http://www.changzhi.gov.cn
阳泉市,http://www.yq.gov.cn
@TODO 青岛市,http://www.qingdao.gov.cn
@TODO 驻马店市,http://www.zhumadian.gov.cn
@DONE 鹤壁市,http://www.hebi.gov.cn
@DONE 济源市,http://www.jiyuan.gov.cn
